"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"PWY-7371",0.785486102853754,0.959381226631805,0.479804780335032,0.961119019952936
"PWY-7373",0.783790547320459,0.958557402768506,0.344990499967468,0.961119019952936
"PWY-7374",0.568638111204956,0.957645370414364,0.476986139273615,0.961816977033935
"PWY-7376",0.749862901729161,0.960487569067498,0.781946389070891,0.970961670388272
"PWY-7377",0.899360712168745,0.978687927533236,0.901787495103335,0.974731561170499
"PWY-7391",0.0519426730146711,0.95117972223605,0.0114756133479905,0.675761645819924
"PWY-7392",0.647968678823839,0.951227058558186,0.718640543962791,0.961148241640481
"PWY-7400",0.937265651308525,0.983008190298659,0.906218568155488,0.975889785424158
"PWY-7431",0.227653861943711,0.95117972223605,0.0590065547086009,0.935852304510538
"PWY-7456",0.959008876042574,0.987668334871363,0.884465571936295,0.979225059383776
"PWY-7527",0.47582731833085,0.956077081576764,0.378822311429031,0.948956313460232
"PWY-7539",0.483713036797709,0.95117972223605,0.506033330904214,0.961119019952936
"PWY-7560",0.349106783957361,0.95117972223605,0.386357815882267,0.961119019952936
"PWY-7616",0.936644404822595,0.984473724167157,0.910972772252269,0.982428630729275
